1,1,-12888,-6800,7360,-34,297,-310,43
1,1,-12700,-6736,7256,-123,294,-296,54
1,1,-12784,-6864,7428,-2,331,-272,71
1,1,-12872,-6832,7320,5,299,-276,72
1,1,-12712,-6788,7444,-123,285,-301,73
1,1,-12704,-6744,7280,-94,298,-282,76
1,1,-12932,-6956,7492,17,352,-255,82
1,1,-12784,-6784,7336,-22,293,-310,87
1,1,-12636,-6652,7392,-118,266,-301,94
1,1,-12748,-6784,7212,-26,336,-282,96
1,1,-12904,-6968,7460,19,343,-318,98
1,1,-12824,-6724,7444,-94,272,-318,100
1,1,-12700,-6756,7284,-83,297,-281,101
1,1,-12816,-6792,7344,58,321,-291,101
1,1,-12820,-6896,7372,-16,279,-286,102
1,1,-12672,-6748,7432,-113,282,-327,104
1,1,-12704,-6776,7400,-19,324,-293,103
1,1,-12784,-6960,7492,18,366,-283,100
1,1,-12716,-6724,7364,-132,243,-328,96
1,1,-12596,-6684,7416,-161,294,-303,44
1,1,-12436,-6732,7184,-100,302,-304,42
2,1,-12732,-6548,7328,-111,267,-281,41
2,1,-12660,-6776,7264,-106,314,-281,41
2,1,-12980,-7152,7412,49,325,-282,41
2,1,-12816,-6732,7392,-7,294,-310,41
2,1,-12560,-6620,7332,-159,278,-253,41
2,1,-12728,-6876,7384,-20,319,-287,41
2,1,-13088,-6972,7200,60,319,-317,55
2,1,-12568,-6636,7284,-79,264,-308,81
2,1,-12568,-6668,7272,-148,296,-271,90
2,1,-12852,-6884,7184,39,342,-282,86
2,1,-12808,-6736,7388,26,309,-301,88
2,1,-12600,-6520,7424,-171,289,-302,92
2,1,-12732,-6832,7360,-43,299,-288,92
2,1,-13044,-6964,7500,87,333,-308,95
2,1,-12808,-6620,7276,-65,264,-307,95
2,1,-12596,-6752,7344,-172,277,-271,98
2,1,-12860,-7040,7256,21,351,-268,98
2,1,-12956,-6936,7420,30,302,-299,101
2,1,-12748,-6636,7288,-142,260,-269,102
2,1,-12756,-6896,7220,-75,306,-263,101
2,1,-12972,-6936,7344,75,319,-284,100
2,1,-12784,-6796,7284,-44,283,-303,100
2,1,-12588,-6688,7324,-166,263,-261,100
2,1,-12848,-6928,7416,18,341,-262,100
2,1,-13096,-7004,7256,70,307,-320,98
2,1,-12644,-6568,7300,-157,279,-291,92
2,1,-12560,-6708,7336,-113,317,-270,46
2,1,-12836,-6876,7380,29,331,-271,43
3,1,-12752,-6544,7380,-41,289,-293,52
3,1,-12556,-6540,7316,-170,273,-252,50
3,1,-12792,-6916,7480,-20,361,-281,49
3,1,-13088,-6832,7332,77,317,-307,50
3,1,-12616,-6476,7304,-132,265,-283,52
3,1,-12800,-6904,7316,-114,299,-273,82
3,1,-13024,-6928,7468,92,344,-293,88
3,1,-12792,-6740,7308,-16,285,-313,87
3,1,-12664,-6716,7160,-191,277,-276,89
3,1,-12772,-6864,7276,-29,307,-285,94
3,1,-12948,-7024,7308,79,325,-315,94
3,1,-12692,-6580,7408,-135,271,-297,98
3,1,-12708,-6820,7260,-125,294,-260,100
3,1,-12964,-7100,7256,72,351,-289,99
3,1,-12768,-6760,7484,-1,306,-322,99
3,1,-12524,-6624,7404,-167,259,-282,100
3,1,-12724,-6940,7464,-26,334,-278,102
3,1,-13028,-6940,7372,86,331,-288,103
3,1,-12752,-6588,7264,-88,260,-298,103
3,1,-12648,-6860,7276,-166,301,-271,103
3,1,-12780,-6764,7340,153,384,-284,105
3,1,-12844,-6760,7284,55,330,-303,103
3,1,-12712,-6576,7556,-161,251,-283,102
3,1,-12804,-6916,7336,-78,334,-279,103
3,1,-12948,-6944,7384,99,349,-317,103
3,1,-12948,-6736,7428,-45,285,-312,44
1,2,-12596,-6656,7360,-151,286,-303,43
1,2,-12808,-6824,7400,-23,302,-267,44
1,2,-12972,-7024,7276,134,348,-294,43
1,2,-12736,-6572,7360,-104,279,-289,43
1,2,-12648,-6752,7404,-137,299,-278,43
1,2,-12940,-7000,7472,50,324,-286,43
1,2,-12956,-6684,7328,22,314,-313,43
1,2,-12652,-6648,7324,-131,293,-281,43
1,2,-12760,-6848,7316,-56,319,-294,43
1,2,-13016,-6976,7288,62,322,-303,43
1,2,-12836,-6736,7400,-30,288,-318,43
1,2,-12624,-6624,7412,-126,291,-290,43
1,2,-12892,-6984,7208,-9,319,-283,43
1,2,-13084,-6892,7408,85,318,-299,43
1,2,-12664,-6572,7384,-110,289,-301,43
1,2,-12676,-6928,7356,-108,296,-276,43
1,2,-12972,-6980,7416,65,319,-296,43
1,2,-12932,-6720,7336,1,294,-275,43
1,2,-12564,-6692,7368,-132,294,-274,43
1,2,-12768,-7004,7324,-1,321,-297,43
1,2,-12992,-6920,7416,19,308,-302,43
2,2,-12908,-6916,7408,19,336,-301,42
2,2,-12920,-6776,7244,-2,311,-292,42
2,2,-12600,-6560,7452,-117,297,-289,42
2,2,-12644,-6896,7376,-63,302,-289,42
2,2,-13020,-6948,7300,65,325,-291,42
2,2,-12772,-6676,7512,-48,279,-300,42
2,2,-12600,-6644,7208,-114,291,-276,42
