1,1,83,85
1,1,83,85
1,1,83,85
1,1,83,85
1,1,82,84
1,1,82,84
1,1,83,85
1,1,82,84
1,1,82,84
2,1,81,83
2,1,81,83
2,1,82,84
2,1,82,84
2,1,81,83
2,1,81,83
2,1,80,82
2,1,80,82
3,1,80,82
3,1,80,82
3,1,80,82
3,1,81,83
3,1,80,82
3,1,80,82
3,1,80,82
3,1,80,82
1,2,62,64
1,2,62,64
1,2,62,64
1,2,62,64
1,2,62,64
1,2,62,64
1,2,62,64
1,2,62,64
1,2,61,63
1,2,61,63
2,2,61,63
2,2,61,63
2,2,62,64
2,2,61,63
2,2,61,63
2,2,62,64
2,2,62,64
2,2,62,64
3,2,62,64
3,2,62,64
3,2,61,63
3,2,61,63
3,2,61,63
3,2,61,63
3,2,61,63
3,2,61,63
1,3,37,39
1,3,20,22
1,3,37,39
1,3,37,39
1,3,38,40
1,3,39,41
1,3,39,41
1,3,39,41
1,3,38,40
1,3,39,41
2,3,39,41
2,3,39,41
2,3,38,40
2,3,39,41
2,3,41,43
2,3,41,43
2,3,41,43
2,3,40,42
2,3,40,42
2,3,40,42
3,3,40,42
3,3,40,42
3,3,40,42
3,3,40,42
3,3,40,42
3,3,40,42
3,3,41,43
3,3,40,42
3,3,40,42
3,3,38,40
