3

100,111,110,111,100
100,111,110,111,100
100,112,110,111,100
100,111,110,111,100
100,112,110,111,100
97,110,115,115,97
96,109,115,117,97
97,109,114,116,97
97,109,114,116,97
97,110,114,116,97
97,109,114,116,97
97,109,113,116,97
97,109,113,116,97
97,110,113,116,97
97,110,113,116,98
97,110,113,116,97
97,110,113,116,97
97,110,113,116,97
98,109,113,116,97
97,110,112,116,97
97,110,113,115,97
97,110,112,116,97
97,110,112,115,97
97,110,112,116,97
101,111,110,112,101
101,112,111,112,101
100,111,110,112,100
101,111,110,112,100
100,111,110,112,101
100,111,110,112,100


100,110,109,109,99
98,110,109,110,99
99,110,109,110,99
99,110,109,110,99
99,110,109,110,99
99,110,109,110,99
99,110,109,110,99
95,109,115,115,95
96,109,114,117,96
95,109,114,116,96
96,109,113,115,96
96,109,113,115,96
96,109,113,116,96
96,109,113,115,96
96,109,113,115,96
96,109,113,116,96
95,109,113,115,96
97,108,112,115,96
96,109,112,115,96
96,108,112,115,96
96,109,112,115,96
97,109,112,115,96
96,109,112,115,96
96,109,112,115,96
97,109,112,115,96
96,109,112,115,96
97,109,112,115,96
100,111,109,111,99
99,110,109,111,99
99,110,109,111,100
99,110,109,111,99
99,110,109,110,99


99,110,109,110,98
99,110,109,110,99
99,110,109,110,98
99,109,109,110,99
99,110,109,110,99
99,110,109,110,99
99,110,109,110,99
95,109,114,116,95
95,109,114,116,95
96,108,113,116,96
96,108,113,114,95
96,108,112,115,96
96,108,113,115,96
96,108,113,115,96
96,108,112,115,96
96,108,112,115,96
96,109,113,115,96
96,111,113,115,96
96,110,112,115,97
96,109,113,115,96
96,109,113,115,96
97,108,112,115,97
96,109,112,115,96
96,108,112,115,96
96,109,112,114,96
96,108,112,114,97
97,109,112,115,97
97,110,111,114,96
99,110,109,110,99
99,110,109,111,100
99,110,109,110,99
99,110,109,111,99
99,110,109,111,99
99,110,109,110,99
99,110,108,110,99
99,110,108,110,99
