-12596,-6656,7360,-151,286,-303,43
-12808,-6824,7400,-23,302,-267,44
-12972,-7024,7276,134,348,-294,43
-12736,-6572,7360,-104,279,-289,43
-12648,-6752,7404,-137,299,-278,43
-12940,-7000,7472,50,324,-286,43
-12956,-6684,7328,22,314,-313,43
-12652,-6648,7324,-131,293,-281,43
-12760,-6848,7316,-56,319,-294,43
-13016,-6976,7288,62,322,-303,43
-12836,-6736,7400,-30,288,-318,43
-12624,-6624,7412,-126,291,-290,43
-12892,-6984,7208,-9,319,-283,43
-13084,-6892,7408,85,318,-299,43
-12664,-6572,7384,-110,289,-301,43
-12676,-6928,7356,-108,296,-276,43
-12972,-6980,7416,65,319,-296,43
-12932,-6720,7336,1,294,-275,43
-12564,-6692,7368,-132,294,-274,43
-12768,-7004,7324,-1,321,-297,43
-12992,-6920,7416,19,308,-302,43


-12908,-6916,7408,19,336,-301,42
-12920,-6776,7244,-2,311,-292,42
-12600,-6560,7452,-117,297,-289,42
-12644,-6896,7376,-63,302,-289,42
-13020,-6948,7300,65,325,-291,42
-12772,-6676,7512,-48,279,-300,42
-12600,-6644,7208,-114,291,-276,42
-12836,-7012,7380,7,317,-296,42
-12880,-6832,7324,61,324,-318,42
-12636,-6564,7432,-104,271,-283,42
-12688,-6800,7344,-91,303,-281,42
-13000,-7000,7476,62,339,-288,42
-12852,-6668,7328,-12,317,-308,42
-12640,-6640,7352,-139,293,-270,42
-12856,-6936,7312,16,295,-269,42
-12912,-6908,7488,60,322,-302,42
-12744,-6608,7332,-82,276,-300,42
-12752,-6936,7404,-17,302,-280,42
-12876,-6984,7336,74,321,-276,42
-12784,-6752,7464,-41,291,-303,42
-12808,-6656,7420,-64,275,-295,42
-12688,-6848,7324,-100,317,-278,42


-12600,-6564,7236,-161,291,-275,42
-12756,-6980,7268,-35,310,-280,42
-12932,-6816,7336,63,334,-299,42
-12760,-6580,7336,-91,275,-313,42
-12576,-6744,7396,-113,317,-282,42
-12856,-6976,7460,38,337,-302,43
-12836,-6728,7360,53,306,-294,42
-12696,-6532,7308,-206,236,-285,42
-12804,-6876,7276,-53,336,-279,43
-13072,-6920,7356,74,328,-310,42
-12784,-6676,7356,-57,297,-297,42
-12476,-6608,7264,-152,263,-294,42
-12852,-7012,7324,21,327,-295,42
-12852,-6808,7360,41,309,-310,42
-12644,-6656,7408,-131,285,-280,42
-12572,-6900,7404,-93,319,-281,42
-13044,-7056,7420,85,359,-302,42
-12920,-6732,7380,-18,296,-306,42
-12596,-6620,7436,-152,275,-288,42
-12944,-6980,7332,0,334,-278,42
-12712,-6864,7312,-15,231,-341,42
